PID, OT_MISS, OT_HIT, OT_CR, OT_FA, NT_MISS, NT_HIT, NT_CR, NT_FA
111, 0.1, 0.23, 0.56, 0.11, 0.9, 1.00, 0.92, 0.68, 
121, 0.1, 0.23, 0.56, 0.11, 0.9, 1.00, 0.92, 0.68, 
212, 0.1, 0.23, 0.56, 0.11, 0.9, 1.00, 0.92, 0.68, 
321, 0.1, 0.23, 0.56, 0.11, 0.9, 1.00, 0.92, 0.68, 
423, 0.1, 0.23, 0.56, 0.11, 0.9, 1.00, 0.92, 0.68, 
534, 0.1, 0.23, 0.56, 0.11, 0.9, 1.00, 0.92, 0.68, 
621, 0.1, 0.23, 0.56, 0.11, 0.9, 1.00, 0.92, 0.68, 
721, 0.1, 0.23, 0.56, 0.11, 0.9, 1.00, 0.92, 0.68, 
812, 0.1, 0.23, 0.56, 0.11, 0.9, 1.00, 0.92, 0.68, 
922, 0.1, 0.23, 0.56, 0.11, 0.9, 1.00, 0.92, 0.68, 
